Thread ID: 72435830
Fiber ID: 68098690
Total: 0.009167
Sort by: self_time

 %self      total      self      wait     child     calls  name
  2.57      0.000     0.000     0.000     0.000        2   IO#write_nonblock 
  2.53      0.001     0.000     0.000     0.000        8   Moped::BSON::Extensions::String#__bson_dump__ 
  2.10      0.001     0.000     0.000     0.001        4   Hash#each 
  2.07      0.000     0.000     0.000     0.000       12   Moped::Threaded#stack 
  1.91      0.000     0.000     0.000     0.000       23   IO#write 
  1.81      0.000     0.000     0.000     0.000       18   Moped::BSON::Extensions::String#to_utf8_binary 
  1.67      0.009     0.000     0.000     0.009        1   MyServer#handle_request 
  1.58      0.001     0.000     0.000     0.000        2   Celluloid::IO::Stream::Latch#synchronize 
  1.53      0.001     0.000     0.000     0.001        2   Celluloid::IO::Stream#do_write 
  1.47      0.000     0.000     0.000     0.000       10   Moped::BSON::Extensions::String#to_bson_cstring 
  1.38      0.002     0.000     0.000     0.002        2   Moped::Protocol::Insert#serialize 
  1.37      0.000     0.000     0.000     0.000       22   String#encode 
  1.33      0.003     0.000     0.000     0.003        2   Moped::Node#ensure_connected 
  1.28      0.000     0.000     0.000     0.000       24   Array#pack 
  1.16      0.001     0.000     0.000     0.001       10   Class#new 
  1.12      0.002     0.000     0.000     0.002       11  *Array#each 
  1.11      0.000     0.000     0.000     0.000        1   Session::Command#initialize 
  1.07      0.000     0.000     0.000     0.000        4   <Module::Kernel>#select 
  1.02      0.000     0.000     0.000     0.000        1   Regexp#initialize 
  1.00      0.000     0.000     0.000     0.000        2   Moped::Cluster#nodes 
  0.99      0.001     0.000     0.000     0.001        1   Reel::Response#initialize 
  0.97      0.001     0.000     0.000     0.001        1   TerminalUser#block_for_output_to_come 
  0.92      0.004     0.000     0.000     0.004        2   Moped::Node#ensure_primary 
  0.92      0.002     0.000     0.000     0.002        1   Reel::Connection#respond 
  0.84      0.009     0.000     0.000     0.009        1   <Module::CodeProfiler>#profile_logger 
  0.84      0.000     0.000     0.000     0.000       10   IO#puts 
  0.82      0.000     0.000     0.000     0.000       24   String#force_encoding 
  0.82      0.001     0.000     0.000     0.001        2   Moped::BSON::Extensions::Hash#__bson_dump__ 
  0.81      0.000     0.000     0.000     0.000       10   Kernel#puts 
  0.80      0.000     0.000     0.000     0.000        4   Moped::Sockets::Connectable#alive? 
  0.79      0.000     0.000     0.000     0.000        7   Array#map 
  0.78      0.000     0.000     0.000     0.000        9  *Kernel#inspect 
  0.75      0.001     0.000     0.000     0.001        1   TerminalUser#respond 
  0.73      0.000     0.000     0.000     0.000        3   <Module::HTTP>#canonicalize_header 
  0.72      0.005     0.000     0.000     0.005        2   Moped::Session#with 
  0.71      0.000     0.000     0.000     0.000       16   Thread#[] 
  0.70      0.000     0.000     0.000     0.000        1   Regexp#match 
  0.66      0.000     0.000     0.000     0.000        2   Time#to_s 
